participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.ret_timer,player.user_text,player.is_correct,player.ret_final_score,player.round_payoff,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,Fx816AbsZuMs,0,40,0.0,0,1,4,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,Fx816AbsZuMs,0,40,0.0,0,2,4,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,Fx816AbsZuMs,0,40,0.0,0,2,4,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,Fx816AbsZuMs,0,40,0.0,0,2,4,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,Fx816AbsZuMs,0,40,0.0,0,2,4,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,EmBMxrAy03J1,1,40,1.0,0,1,5,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,EmBMxrAy03J1,1,40,1.0,0,1,5,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,EmBMxrAy03J1,1,40,1.0,0,1,5,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,EmBMxrAy03J1,1,40,1.0,0,1,5,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,EmBMxrAy03J1,1,40,1.0,0,2,5,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,EmBMxrAy03J1,1,40,1.0,0,2,5,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,EmBMxrAy03J1,1,40,1.0,0,2,5,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,EmBMxrAy03J1,1,40,1.0,0,2,5,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,bzu52aHa1Qoa,1,40,1.0,0,1,6,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,bzu52aHa1Qoa,1,40,1.0,0,1,6,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,bzu52aHa1Qoa,1,40,1.0,0,1,6,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,bzu52aHa1Qoa,1,40,1.0,0,1,6,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,bzu52aHa1Qoa,1,40,1.0,0,2,6,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,bzu52aHa1Qoa,1,40,1.0,0,2,6,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,bzu52aHa1Qoa,1,40,1.0,0,2,6,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,bzu52aHa1Qoa,1,40,1.0,0,2,6,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,hWIk3zeIQYy8,1,40,1.0,0,1,7,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,hWIk3zeIQYy8,1,40,1.0,0,1,7,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,hWIk3zeIQYy8,1,40,1.0,0,1,7,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,hWIk3zeIQYy8,1,40,1.0,0,1,7,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,hWIk3zeIQYy8,1,40,1.0,0,2,7,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,hWIk3zeIQYy8,1,40,1.0,0,2,7,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,hWIk3zeIQYy8,1,40,1.0,0,2,7,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,hWIk3zeIQYy8,1,40,1.0,0,2,7,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,p8Eyf9rExbfq,1,40,1.0,0,1,8,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,p8Eyf9rExbfq,1,40,1.0,0,1,8,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,p9Eyf9rExbfq,0,40,0.0,0,1,8,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,p8Eyf9rExbfq,1,40,1.0,0,1,8,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,p8Eyf9rExbfq,1,40,1.0,0,2,8,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,p8Eyf9rExbfq,1,40,1.0,0,2,8,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,p8Eyf9rExbfq,1,40,1.0,0,2,8,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,p8Eyf9rExbfq,1,40,1.0,0,2,8,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,t1IVv1gzxnKF,0,40,0.0,0,1,9,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,t1IVvlgzxnKF,1,40,1.0,0,1,9,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,t1IVv1gzxnKF,0,40,0.0,0,1,9,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,t1IVv1gzxnKF,0,40,0.0,0,1,9,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,t1IVvlgzxnKF,1,40,1.0,0,2,9,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,t1IVvlgzxnKF,1,40,1.0,0,2,9,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,t1IVvlgzxnKF,1,40,1.0,0,2,9,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,t1IVvlgzxnKF,1,40,1.0,0,2,9,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,CzU4HQAWYsyD,1,40,1.0,0,1,10,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,CzU4HQAWYsyD,1,40,1.0,0,1,10,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,CzIHQAWYsyD,0,40,0.0,0,1,10,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,CzU4HQAWYsyD,1,40,1.0,0,1,10,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,CzU4HWAWYsyD,0,40,0.0,0,2,10,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,CzU4HQAWYsyD,1,40,1.0,0,2,10,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,CzU4HQAWYsyD,1,40,1.0,0,2,10,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,CzU4HQAWYsyD,1,40,1.0,0,2,10,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,YxRhyujFASW3,1,40,1.0,0,1,11,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,YxRhyujFASW3,1,40,1.0,0,1,11,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,YxRhyukFASW3,0,40,0.0,0,1,11,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,YxRhyujFASW3,1,40,1.0,0,1,11,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,YxRhyujFASW3,1,40,1.0,0,2,11,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,YxRhyujFASW3,1,40,1.0,0,2,11,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,YxRhyujFASW3,1,40,1.0,0,2,11,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,YxRhyujFASW3,1,40,1.0,0,2,11,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,MwRTjhzaFAjn,1,40,1.0,0,1,12,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,MwRTjhzaFAjn,1,40,1.0,0,1,12,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,MwRTjhzaFAjn,1,40,1.0,0,1,12,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,MwRTjhzaFAjn,1,40,1.0,0,1,12,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,MwRTjhzaFAjn,1,40,1.0,0,2,12,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,MwETjhzaFAjn,0,40,0.0,0,2,12,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,MwRTjhzaFAjn,1,40,1.0,0,2,12,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,MwRTjhzaFAjn,1,40,1.0,0,2,12,4itosd9a,,,,,,,,0
1,esab1z3s,SSEL_B_01,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:35:28.280743+00:00,0,1,,,1,300,qf1YvFXH3Lu7,1,40,1.0,0,1,13,4itosd9a,,,,,,,,0
2,f8kku8dk,SSEL_B_02,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:37:45.490356+00:00,0,1,,,2,300,qf1YvFXH3Lu7,1,40,1.0,0,1,13,4itosd9a,,,,,,,,0
3,6lfwbios,SSEL_B_03,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:37:59.976246+00:00,0,1,,,3,300,qf1YvFXH3Lu7,1,40,1.0,0,1,13,4itosd9a,,,,,,,,0
4,iirrs46r,SSEL_B_04,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:10.030694+00:00,0,1,,,4,300,qf1YvFXH3Lu7,1,40,1.0,0,1,13,4itosd9a,,,,,,,,0
5,4wi56lhg,SSEL_B_05,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.199,2017-03-26 08:38:18.577809+00:00,0,1,,,1,300,qf1YvFXH3Lu7,1,40,1.0,0,2,13,4itosd9a,,,,,,,,0
6,rp6wgg0x,SSEL_B_06,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:43.388822+00:00,0,1,,,2,300,qf1YvFXH3Lu7,1,40,1.0,0,2,13,4itosd9a,,,,,,,,0
7,rdymovsq,SSEL_B_07,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:38:54.709378+00:00,0,1,,,3,300,qf1YvFXH3Lu7,1,40,1.0,0,2,13,4itosd9a,,,,,,,,0
8,wyo5dqf6,SSEL_B_08,0,1228,1228,csr_3_stageT_coldPrickle,1,FinalResults,91.230.41.198,2017-03-26 08:39:04.098116+00:00,0,1,,,4,300,qf1YvFXH3Lu7,1,40,1.0,0,2,13,4itosd9a,,,,,,,,0
