"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.player_role","player.quiz_01_a","player.quiz_01_b","player.quiz_01_c","player.quiz_01_d","player.quiz_01_e","player.quiz_01_f","player.quiz_02_a","player.quiz_02_b","player.quiz_02_c","player.quiz_02_d","player.quiz_02_e","player.ret_score","player.vcm_score","player.vcm_ge_percent","player.passive_Player_Earnings","player.stage_round_count","player.paid_round","player.paid_active_round_score","player.round_payoff","player.GE_Low_A","player.GE_Low_F","player.mpcr","player.boycott_cost","player.passive_ge_contrib","player.A1_A_mult","player.A1_F_mult","player.F1_A_mult","player.F1_F_mult","player.A3_A_mult","player.A3_F_mult","player.N1_prob","player.A_stage1","player.F_stage2","player.A_stage3","player.Nature","player.terminal_choice","player.postStage_self_individual_exchange","player.postStage_self_ge","player.postStage_op_individual_exchange","player.postStage_op_group_exchange","player.postStage_round_points","player.followup_1","player.q_birthMonth","player.q_birthYear","player.q_sex","player.q_languages","player.q_YearsInUAE","player.q_nationality","player.q_major","player.q_part2strat","player.q_part3_A1strat","player.q_part3_F1strat","player.q_part3_A3strat","player.q_part3_dynamic","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo","vcm_mean_ge_percent"
"11",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,20.2,0.05,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.05
"12",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,25.06,0.155,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.155
"13",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,20.5,0.535,18,1,NA,NA,13,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A4","N2","N2",5,15,15,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.535
"14",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,14.95,0.905,18,1,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.905
"15",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,24.5,0.405,18,1,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.405
"16",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,20.2,0.14,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N2","A1",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.14
"17",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.135
"18",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.32
"19",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.07
"20",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,26,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","N1",15,5,5,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.092
"21",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.137
"22",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.205
"23",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.452
"24",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N2","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.38
"25",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,16,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A4","N1","N1",5,15,5,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.483
"26",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.252
"27",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A1",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.05
"28",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.155
"29",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.535
"30",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A1",NA,"A4","N1","A1",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.905
"31",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.405
"32",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,2,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N2","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,2,"2huaehm1",NA,NA,NA,NA,NA,0,0.14
"33",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N2","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.135
"34",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N2","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.32
"35",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.07
"36",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F1",NA,"N1","A1",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.092
"37",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A1",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.137
"38",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,NA,NA,26,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","N1",15,5,5,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.205
"39",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N2","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.452
"40",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.38
"41",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A1",NA,"A4","N1","A1",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.483
"42",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,NA,NA,16,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A4","N1","N1",5,15,5,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.252
"43",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.05
"44",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,2,"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N2","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.155
"45",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.535
"46",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,1,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0,0.905
